FileName,GPSLatitude,GPSLongitude,Altitude,DateTimeOriginal,CameraModel
DJI_0019.JPG,"27 deg 1' 8.44\" N","88 deg 38' 9.92\" E",1291.46,2021:09:07 12:44:24,FC6310
DJI_0005.JPG,"27 deg 1' 9.48\" N","88 deg 38' 8.50\" E",1243.16,2021:09:07 12:43:28,FC6310
DJI_0016.JPG,"27 deg 1' 8.79\" N","88 deg 38' 9.44\" E",1291.36,2021:09:07 12:44:11,FC6310
DJI_0011.JPG,"27 deg 1' 9.36\" N","88 deg 38' 8.65\" E",1284.56,2021:09:07 12:43:55,FC6310
DJI_0001.JPG,,,,,
DJI_0002.JPG,,,,,
DJI_0003.JPG,,,,,
DJI_0004.JPG,,,,,
DJI_0006.JPG,,,,,
DJI_0007.JPG,,,,,
DJI_0008.JPG,,,,,
DJI_0009.JPG,,,,,
DJI_0010.JPG,,,,,
DJI_0012.JPG,,,,,
DJI_0013.JPG,,,,,
DJI_0014.JPG,,,,,
DJI_0015.JPG,,,,,
DJI_0017.JPG,,,,,
DJI_0018.JPG,,,,,
DJI_0020.JPG,,,,,
